DIA_TRANSPORTE,NOMBRE_EMPRESA,LINEA,CANTIDAD,DATO_PRELIMINAR
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,15653,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,10444,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,4624,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,13698,NO
06/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,5014,NO
06/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,34263,NO
06/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA_581,7566,NO
07/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,9167,NO
07/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,5777,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,903,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,10280,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,12985,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,17521,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,2571,NO
07/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,10813,NO
07/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,12818,NO
07/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,6116,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,10114,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,20411,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,15368,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,6732,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,8682,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,12897,NO
07/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_562,16933,NO
07/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_563,13966,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,21272,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,17352,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,10035,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,6672,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,15183,NO
07/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,5834,NO
07/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,38085,NO
07/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA_581,11254,NO
08/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,9034,NO
08/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,6605,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,900,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,10905,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,12269,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,17743,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,2467,NO
08/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,10728,NO
08/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,13265,NO
08/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,6148,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,9674,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_543,681,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,18793,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,14997,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,6910,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,9571,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,11687,NO
08/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_562,17669,NO
08/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_563,12347,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,22468,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,15884,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,10699,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,5194,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,15112,NO
08/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,5325,NO
08/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,37249,NO
08/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA_581,11174,NO
09/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,8962,NO
09/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,6599,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,874,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,10152,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,13808,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,20126,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,1626,NO
09/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,11858,NO
09/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,10955,NO
09/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,7065,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,8779,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,21404,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,15370,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,6729,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,8677,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,10113,NO
09/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_562,18285,NO
09/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_563,13212,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,21261,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,17218,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,8517,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,5616,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,14739,NO
09/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,5497,NO
09/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,37561,NO
09/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA_581,12750,NO
10/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,7928,NO
10/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,6323,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,789,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,8687,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,11885,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,16084,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,2388,NO
10/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,10520,NO
10/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,8884,NO
10/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,4884,NO
