DAY_OF_WEEK,LINE_ID,WORKDAY,LAG_7,DIFF_14,YEAR,DAY_OF_WEEK_COS,DAY_OF_YEAR_SIN,MONTH_SIN
3,525,1,0,0,2024,-0.900968867902419,0.6287628145958344,0.49999999999999994
4,525,1,0,0,2024,-0.9009688679024191,0.6152845999633276,0.49999999999999994
5,525,1,0,0,2024,-0.2225209339563146,0.6016240632249226,0.49999999999999994
6,525,0,0,0,2024,0.6234898018587334,0.5877852522924732,0.49999999999999994
7,525,0,0,0,2024,1.0,0.5737722679043246,0.49999999999999994
1,525,1,0,0,2024,0.6234898018587336,0.5595892624101765,0.49999999999999994
2,525,1,0,0,2024,-0.22252093395631434,0.545240438540651,0.49999999999999994
3,525,1,0,0,2024,-0.900968867902419,0.5307300481619334,0.49999999999999994
4,525,1,0,0,2024,-0.9009688679024191,0.5160623910158528,0.49999999999999994
5,525,1,0,0,2024,-0.2225209339563146,0.5012418134457758,0.49999999999999994
6,525,0,0,0,2024,0.6234898018587334,0.48627270710868997,1.2246467991473532e-16
7,525,0,0,0,2024,1.0,0.4711595076738638,1.2246467991473532e-16
1,525,1,0,0,2024,0.6234898018587336,0.4559066935084588,1.2246467991473532e-16
2,525,1,0,0,2024,-0.22252093395631434,0.440518784350495,1.2246467991473532e-16
3,525,1,0,0,2024,-0.900968867902419,0.42500033996955416,1.2246467991473532e-16
4,525,1,0,0,2024,-0.9009688679024191,0.4093559588156213,1.2246467991473532e-16
5,525,1,0,0,2024,-0.2225209339563146,0.39359027665646673,1.2246467991473532e-16
6,525,0,0,0,2024,0.6234898018587334,0.3777079652039649,1.2246467991473532e-16
7,525,0,0,0,2024,1.0,0.36171373072976765,1.2246467991473532e-16
1,525,1,0,0,2024,0.6234898018587336,0.3456123126707335,1.2246467991473532e-16
2,525,1,0,0,2024,-0.22252093395631434,0.3294084822245304,1.2246467991473532e-16
3,525,1,0,0,2024,-0.900968867902419,0.3131070409358269,1.2246467991473532e-16
4,525,1,0,0,2024,-0.9009688679024191,0.29671281927349075,1.2246467991473532e-16
5,525,1,0,0,2024,-0.2225209339563146,0.28023067519921585,1.2246467991473532e-16
6,525,0,0,0,2024,0.6234898018587334,0.26366549272800704,1.2246467991473532e-16
7,525,0,0,0,2024,1.0,0.24702218048093552,1.2246467991473532e-16
1,525,1,0,0,2024,0.6234898018587336,0.23030567023061221,1.2246467991473532e-16
2,525,1,0,0,2024,-0.22252093395631434,0.21352091543979612,1.2246467991473532e-16
3,525,1,0,0,2024,-0.900968867902419,0.19667288979357647,1.2246467991473532e-16
4,525,1,0,0,2024,-0.9009688679024191,0.1797665857255624,1.2246467991473532e-16
5,525,1,0,0,2024,-0.2225209339563146,0.16280701293851715,1.2246467991473532e-16
